Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,,,,,2326,27,,35,0,2,,,,441.251,0
Normal,,,1/22/2019,,2328,34,,37,0,22,,,,5887.344,11
Normal,,1/10/2019,,,2330,,,,0,4,,,,319.945,0
Normal,,12/14/2018,1/31/2019,28,2331,3,,3,59,3,,1,48,2817.549,8
Normal,Mumbai,12/28/2018,3/10/2019,56,2332,5,,9,30,24,1,1,72,3226.44,8
Normal,,,10/11/2018,,2333,,,,0,,,,,301.955,0
Normal,,,10/10/2018,,2335,1,,1,0,1,,,,114.893,0
Normal,,1/30/2019,2/2/2019,0,2337,17,2,20,60,9,4,1,3,4005.066,0
Normal,Mumbai,2/1/2019,8/25/2019,197,2338,229,1,303,73,19,3,1,205,4999.654,11
Normal,,,1/30/2019,,2340,51,1,94,0,26,,,,5562.967,9
Normal,,11/28/2018,1/24/2019,56,2341,79,4,86,50,34,,1,57,6488.467,18
Normal,,,,,2342,,,,0,1,,,,104.108,0
Normal,,11/22/2018,2/19/2019,84,2343,27,,25,0,7,,1,89,2017.023,6
Normal,,11/29/2018,11/9/2018,-28,2344,11,2,11,22,21,4,0,-20,5041.215,3
Normal,,,10/12/2018,,2346,,,,0,1,,,,219.204,0
Normal,,,4/12/2019,,2347,33,,147,0,3,,,,918.571,4
Normal,Mumbai,12/3/2018,4/9/2019,112,2348,7,,126,28,17,1,1,127,2072.287,0
Normal,,,,,2349,58,1,85,0,5,,,,575.924,0
Normal,,,,,2350,,,2,0,8,,,,1549.074,2
Normal,,12/5/2018,1/28/2019,28,2351,2,1,4,54,37,4,1,54,9753.349,20
Normal,,,11/3/2018,,2352,6,,7,0,2,,,,288.476,0
Normal,Mumbai,2/7/2019,1/27/2019,-28,2354,37,10,78,13,40,,0,-11,21045.059,0
Normal,Mumbai,11/23/2018,,,2355,149,14,186,95,64,11,,,19766.635,36
Normal,,,10/11/2018,,2356,,,,1,,,,,1678.513,0
Normal,,,10/11/2018,,2358,,,,0,,,,,127.446,0
Normal,,,1/11/2019,,2359,1,,2,3,1,,,,2244.652,0
Normal,,1/15/2019,2/2/2019,0,2362,,,1,16,6,,1,18,2413.377,17
Normal,,,12/30/2018,,2363,50,3,56,0,6,,,,1216.633,4
Normal,,,11/5/2018,,2364,,,,0,3,,,,386.812,0
Normal,Mumbai,2/9/2019,12/19/2018,-56,2365,87,1,98,9,14,2,0,-52,3480.766,8
Normal,,,,,2366,1,,1,0,2,,,,622.876,2
Normal,,12/6/2018,6/22/2019,197,2371,,,,93,39,3,1,198,9665.099,27
Normal,,,2/24/2019,,2372,,,,0,1,,,,439.985,2
Normal,,12/12/2018,4/1/2019,84,2373,100,1,143,3,3,,1,110,1094.779,1
Normal,,,10/14/2018,,2375,1,,1,0,1,,,,386.576,0
Normal,,,10/13/2018,,2379,,,,0,,,,,454.84,0
Normal,,,10/15/2018,,2380,,,,0,1,,,,178.122,0
Normal,,,10/19/2018,,2382,2,,2,0,,,,,114.408,0
Normal,,12/25/2018,1/28/2019,28,2386,29,1,34,56,28,8,1,34,13637.931,19
Normal,,1/13/2019,2/27/2019,28,2387,21,2,30,38,7,,1,45,2961.268,13
Normal,,2/2/2019,3/9/2019,28,2388,14,2,117,61,10,1,1,35,3096.234,0
Normal,,,,,2389,88,1,92,0,9,,,,1780.941,7
Normal,Mumbai,11/23/2018,4/12/2019,112,2390,30,47,122,4,74,3,1,140,4126.701,4
Normal,,,10/13/2018,,2392,,,,0,,,,,93.994,0
Normal,Mumbai,11/28/2018,4/1/2019,112,2393,15,2,32,0,6,,1,124,1811.986,1
Normal,Mumbai,11/25/2018,,,2394,,,,68,63,7,,,13559.841,42
Normal,,,10/21/2018,,2395,,,,0,1,,,,2580.832,9
Normal,,11/27/2018,12/25/2018,0,2396,39,,45,27,57,10,1,28,10915.543,12
Normal,,,11/23/2018,,2397,17,,22,0,1,,,,93.902,0
Normal,,11/28/2018,3/26/2019,112,2399,2,,3,21,17,1,1,118,6766.28,22
Normal,Mumbai,8/3/2019,11/15/2018,-281,2400,146,7,233,14,29,,0,-261,7771.766,22
Normal,,,10/15/2018,,2401,,,,0,,,,,141.214,0
Normal,,,8/7/2019,,2404,234,4,238,0,,,,,239.136,0
Normal,,1/27/2019,1/29/2019,0,2405,21,1,56,48,18,,1,2,3558.749,4
Normal,,,12/1/2018,,2406,,,,5,6,,,,1210.435,0
Normal,,,11/22/2018,,2409,11,,8,0,5,,,,1786.576,5
Normal,Mumbai,12/20/2018,2/8/2019,28,2410,,,,68,32,5,1,50,14183.721,30
Normal,,12/14/2018,2/16/2019,56,2411,26,,34,0,7,,1,64,684.616,0
Normal,,12/4/2018,4/14/2019,112,2413,21,,31,13,6,,1,131,615.93,0
Normal,,,11/29/2018,,2414,,,,0,3,,,,2712.42,10
Normal,,,10/25/2018,,2415,,,1,0,,,,,127.192,0
